ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3223,0,Somalia,0,51.0174,11.8233,314.839,2007-11-03,2007-11-04,News,3,3000,Heavy rain,1.0
3227,0,Uganda,0,32.5857,0.354526,552.247,2007-11-15,2007-11-18,News,4,3000,Heavy rain,1.0
3235,FL-2007-000221-KEN,Kenya,0,40.2492,-2.15393,6077.69,2007-11-21,2007-12-16,News,0,6000,Heavy rain,1.0
3240,0,Kenya,0,38.6883,-3.61463,6215.98,2007-12-12,2007-12-15,News,4,2000,Heavy rain,1.0
3287,0,Kenya,0,37.6723,2.82691,21278.67,2008-03-20,2008-04-02,News,2,10000,Heavy rain,1.0
3289,FL-2008-000041-TZA,Kenya,,38.1658,-3.38095,50222.63,2008-03-17,2008-04-05,News,1,9600,Heavy rain,1.0
3290,0,Kenya,0,35.2215,-0.178031,3971.84,2008-03-28,2008-04-02,News,3,160,Heavy rain,1.0
3293,0,Kenya,0,34.4898,-0.560615,236.539,2008-04-20,2008-04-22,News,0,2000,Heavy rain,1.5
3294,0,Tanzania,0,36.457,-8.54602,15130.83,2008-04-11,2008-05-16,News,0,800,Heavy rain,1.0
3321,FL-2008-000092-KEN,Kenya,0,40.7104,-2.13589,40027.65,2008-06-13,2008-06-20,News,16,8658,Heavy Rain,1.5
3351,FL-2008-125000-SDN,Sudan,0,30.7576,6.61129,155555.33,2008-08-07,2008-08-08,News,0,0,Torrential rain,1.0
3367,0,Ethiopia,0,33.3146,7.5848,69636.6,2008-08-20,2008-08-28,News,3,18000,Heavy seasonal rains,1.5
3390,2008-000180,Sudan,0,29.6649,9.24385,81576.03,2008-10-03,2008-10-06,News,17,3000,Heavy Rain,1.0
3392,0,Rwanda,0,29.8894,-1.71681,11139.97,2008-10-01,2008-10-06,News,0,2000,Heavy Rain,1.0
3394,FL-2008-000191-CRI,Kenya,,41.9,4.0,45128.33,2008-10-14,2008-10-16,News,3,10000,Heavy Rain,1.0
3401,0,Somalia,0,43.4984,1.25298,111938.61,2008-11-03,2008-11-04,News,0,52000,Heavy Rain,1.5
3402,0,Kenya,,35.1248,0.048733,37962.69,2008-11-10,2008-11-12,News,0,28000,Heavy Rain,1.5
3404,0,Ethiopia,0,43.0595,0.82945,25490.96,2008-11-16,2008-11-20,News,11,500,Heavy Rain,1.0
3472,FL-2009-000075-BDI,Burundi,0,29.7516,-3.26804,11707.88,2009-04-06,2009-04-30,News,0,1200,Heavy Rain,1.5
3533,FL-2009-000166-SDN,Sudan,0,32.604,15.9846,59848.91,2009-08-16,2009-08-22,0,5,80000,Heavy Rain,1.0
3557,FF-2009-000229-SOM,Kenya,,40.6773,2.99222,197665.04,2009-10-20,2009-10-28,0,0,2000,Heavy Rain,1.0
3569,0,Tanzania,0,35.8909,-6.77431,194788.3,2009-11-10,2009-11-13,0,20,0,Heavy Rain,1.0
3584,0,Tanzania,0,36.0236,-6.80493,167332.29,2009-12-25,2009-12-27,0,1,3000,Heavy Rain,1.0
3589,FL-2010-000003-KEN,Kenya,0,36.5237,1.16546,176698.68,2009-12-21,2010-01-13,0,21,30000,Heavy Rain,1.0
3617,FL-2010-000041-SOM,Ethiopia,,45.4942,9.19708,104208.15,2010-03-01,2010-03-11,0,0,16000,Heavy Rain,1.0
3620,0,Uganda,0,31.0638,1.13485,75196.57,2010-03-07,2010-03-12,0,0,20000,Heavy Rain,1.0
